Business_ID,Name,Address,Coordinates,Number_of_Reviews,Rating,Zip_Code,Cuisine
ubeG-hyIV8qoSSAk_pAZ2A,No Pork Halal Kitchen,50 4th Ave,{40.68332:-73.97936},113,4.0,11217,chinese
lQ8Fzgji9qmgRXkFcvAsVQ,Chong Qing Xiao Mian,796 9th Ave,{40.76513:-73.98753},294,4.0,10019,chinese
lgS9lE0Y9FhzT68zCj5QCw,Hunan Bistro,96 3rd Ave,{40.73234:-73.9881},209,3.5,10003,chinese
croh2zWlbPyCQTNS11klcg,China River 川聚院,258 W 44th St,{40.7581711239604:-73.9883149042726},158,4.0,10036,chinese
rEbwps11tIERRkwQrIXQog,Hakkasan,311 W 43rd St,{40.758619:-73.989961},886,3.5,10036,chinese
VW2Epq3C8jqysu6Edpu-RA,Atlas Kitchen,258 W 109th St,{40.80332:-73.9668},86,4.0,10025,chinese
jwKPVep2qZYBUA6SLLQPvg,Legend 72,127 W 72nd St,{40.77796:-73.9796901},218,3.5,10023,chinese
PGeL1b4xNJggpZsHEGoxjg,Mr Chow,121 Hudson St,{40.7201045:-74.0087721},379,3.0,10013,chinese
X4hEgOBOLTYFhlWO-gAFxQ,Tipsy Shanghai,228 Thompson St,{40.72929:-73.99882},137,4.0,10012,chinese
BLYomPDQX5HkNWFJ2Lxfpg,Szechuan Delight Restaurant,152 7th Ave,{40.67254:-73.97706},100,3.0,11215,chinese
a52GUjv7jYD3Baa0Ltbytw,Golden Dragon Kitchen,394 Metropolitan Ave,{40.713829:-73.955184},18,3.5,11211,chinese
DH6vM_NdIN5q-xfiHnJ3mA,Red Bowl,208 Bedford Ave,{40.7170493866292:-73.958762175149},252,3.5,11211,chinese
3nATnhLyWRvbUGRwK2zdXQ,Zen Yai Noodle Bar,208 Grand St,{40.713897:-73.960337},5,4.5,11211,chinese
XoxEVVf5Ci8nibQ-Q4P0nQ,Chinese Musician Restaurant,151 Greenpoint Ave,{40.7303597:-73.9537321},124,3.0,11222,chinese
WRPJeH3goSpj5ke3Pkrnfw,Burp Bowl Cafe,134 E 27th St,{40.74183:-73.98271},204,4.5,10010,chinese
MzA6gitJKqfW4VrdS7AiQw,PACIFIC MOON,59-02 Broadway,{40.75119:-73.90269},68,4.5,11377,chinese
u5-S5ElOzXnavuZ2gFsCpg,Manting,150 W 49th St,{40.7601476826859:-73.9829980954528},227,3.5,10019,chinese
I_Va7AZSHpEwX75S-3hHLQ,Noodle Fun,1744 1st Ave,{40.7795333862305:-73.9470367431641},142,4.0,10128,chinese
a93NwZxjkPQydJxR42oPyg,Grain House,929 Amsterdam Ave,{40.800127673827:-73.9657538384199},56,4.0,10025,chinese
2rqb2T5IS2D7A6UB5QwNKw,Yun Nan Flavor Garden,5121 8th Ave,{40.639996:-74.004509},290,4.0,11220,chinese
LztkKM-lvRraBbS9TVXzcg,Yiwanmen,150 Mott St,{40.7193132739237:-73.9962630421457},131,4.0,10013,chinese
OX2B4KARPKNTxC39wpcqDA,A & C Kitchen,136 Avenue C,{40.72501:-73.978},33,3.5,10009,chinese
Dqp5Itsj9dN0Ewz8Gm853g,Philippe Downtown,355 W 16th St,{40.74213:-74.0038},52,4.0,10011,chinese
GKZa6xX1ZctdDTLDyfGBHw,Thank You Come Again,445 Albee Square W,{40.69121:-73.98331},20,4.0,11201,chinese
kwGaeWUVC_MIxMFw0sM-Ww,Hong Kong Express,989 Wyckoff Ave,{40.69617:-73.904721},42,4.0,11385,chinese
6oQKDCJrgDffPKXPTPBXlA,King Wah Restaurant,6417 Fresh Pond Rd,{40.7099237520059:-73.8989976712028},74,3.5,11385,chinese
pMgk7E6bCG5Aj2sLuowobw,Golden Chopstick,789 Franklin Ave,{40.6718339:-73.957229},67,3.5,11238,chinese
m4Q7Te--vJwBPi6j1_1mfg,XIN,8320 3rd Ave,{40.62518:-74.03067},80,3.5,11209,chinese
JjzCmRn3q8JrlwHx8nFhAA,Tang Hotpot,135 Bowery,{40.71866:-73.99435},201,4.0,10002,chinese
IqbHVeqgewmbeSMXBhbqSw,Hunan Manor,339 Lexington Ave,{40.74965:-73.97707},294,3.5,10016,chinese
